YEAR,RANK,RIDER,RIDER NO.,TEAM,TIMES,GAP,DISTNACE
2007,91, VICENTE GARCIA ACOSTA,13,CAISSE D'EPARGNE,94H 01' 04'',+ 03H 00' 38'',3570
2007,92, NICOLAS VOGONDY,139,AGRITUBEL,94H 01' 16'',+ 03H 00' 50'',3570
2007,93, JOHANN TSCHOPP,128,BOUYGUES TELECOM,94H 07' 45'',+ 03H 07' 19'',3570
2007,94, SIMON GERRANS,67,AG2R PREVOYANCE,94H 09' 45'',+ 03H 09' 19'',3570
2007,95, PAOLO BOSSONI,83,LAMPRE-FONDITAL,94H 10' 22'',+ 03H 09' 56'',3570
2007,96, DANIELE RIGHI,87,LAMPRE-FONDITAL,94H 11' 01'',+ 03H 10' 35'',3570
2007,97, LILIAN JEGOU,166,FRANCAISE DES JEUX,94H 14' 37'',+ 03H 14' 11'',3570
2007,98, ANTHONY GESLIN,124,BOUYGUES TELECOM,94H 14' 41'',+ 03H 14' 15'',3570
2007,99, ALEXANDER EFIMKIN,211,BARLOWORLD,94H 14' 45'',+ 03H 14' 19'',3570
2007,100, FABIAN CANCELLARA,33,TEAM CSC,94H 16' 14'',+ 03H 15' 48'',3570
2007,101, MURILO ANTONIO FISCHER,155,LIQUIGAS,94H 16' 34'',+ 03H 16' 08'',3570
2007,102, FREDDY BICHOT,132,AGRITUBEL,94H 17' 24'',+ 03H 16' 58'',3570
2007,103, DAVID CAÑADA GRACIA,203,SAUNIER DUVAL - PRODIR,94H 17' 45'',+ 03H 17' 19'',3570
2007,104, SÉBASTIEN ROSSELER,175,QUICK STEP - INNERGETIC,94H 18' 51'',+ 03H 18' 25'',3570
2007,105, BERT GRABSCH,26,T-MOBILE TEAM,94H 20' 24'',+ 03H 19' 58'',3570
2007,106, FÉLIX RAFEL CÁRDENAS RAVALO,212,BARLOWORLD,94H 20' 24'',+ 03H 19' 58'',3570
2007,107, JULIAN DEAN,105,CREDIT AGRICOLE,94H 22' 23'',+ 03H 21' 57'',3570
2007,108, MATTEO TOSATTO,178,QUICK STEP - INNERGETIC,94H 22' 40'',+ 03H 22' 14'',3570
2007,109, WILLIAM BONNET,102,CREDIT AGRICOLE,94H 23' 25'',+ 03H 22' 59'',3570
2007,110, LEIF HOSTE,45,PREDICTOR - LOTTO,94H 23' 28'',+ 03H 23' 02'',3570
2007,111, GIANPAOLO CHEULA,213,BARLOWORLD,94H 23' 37'',+ 03H 23' 11'',3570
2007,112, MATTHIEU LADAGNOUS,167,FRANCAISE DES JEUX,94H 23' 43'',+ 03H 23' 17'',3570
2007,113, MANUEL QUINZIATO,157,LIQUIGAS,94H 24' 08'',+ 03H 23' 42'',3570
2007,114, NICOLAS JALABERT,137,AGRITUBEL,94H 24' 28'',+ 03H 24' 02'',3570
2007,115, BENJAMIN NOVAL GONZALEZ,116,DISCOVERY CHANNEL TEAM,94H 24' 39'',+ 03H 24' 13'',3570
2007,116, RALF GRABSCH,183,TEAM MILRAM,94H 25' 01'',+ 03H 24' 35'',3570
2007,117, MICKAEL DELAGE,163,FRANCAISE DES JEUX,94H 25' 12'',+ 03H 24' 46'',3570
2007,118, ROBERT HUNTER,216,BARLOWORLD,94H 26' 38'',+ 03H 26' 12'',3570
2007,119, TOM BOONEN,171,QUICK STEP - INNERGETIC,94H 26' 45'',+ 03H 26' 19'',3570
2007,120, MARCEL SIEBERG,189,TEAM MILRAM,94H 27' 14'',+ 03H 26' 48'',3570
2007,121, BERNHARD EISEL,24,T-MOBILE TEAM,94H 27' 23'',+ 03H 26' 57'',3570
2007,122, ALESSANDRO CORTINOVIS,182,TEAM MILRAM,94H 27' 30'',+ 03H 27' 04'',3570
2007,123, STEVEN DE JONGH,173,QUICK STEP - INNERGETIC,94H 28' 11'',+ 03H 27' 45'',3570
2007,124, PAOLO LONGO BORGHINI,217,BARLOWORLD,94H 28' 14'',+ 03H 27' 48'',3570
2007,125, BENOIT SALMON,138,AGRITUBEL,94H 29' 25'',+ 03H 28' 59'',3570
2007,126, CLAUDIO CORIONI,85,LAMPRE-FONDITAL,94H 29' 52'',+ 03H 29' 26'',3570
2007,127, MARCUS BURGHARDT,22,T-MOBILE TEAM,94H 30' 03'',+ 03H 29' 37'',3570
2007,128, PIETER WEENING,59,RABOBANK,94H 32' 15'',+ 03H 31' 49'',3570
2007,129, HEINRICH HAUSSLER,94,GEROLSTEINER,94H 32' 56'',+ 03H 32' 30'',3570
2007,130, SÉBASTIEN CHAVANEL,162,FRANCAISE DES JEUX,94H 35' 51'',+ 03H 35' 25'',3570
2007,131, ENRICO POITSCHKE,188,TEAM MILRAM,94H 35' 54'',+ 03H 35' 28'',3570
2007,132, SÉBASTIEN HINAULT,108,CREDIT AGRICOLE,94H 36' 03'',+ 03H 35' 37'',3570
2007,133, PETER WROLICH,99,GEROLSTEINER,94H 36' 31'',+ 03H 36' 05'',3570
2007,134, BRAM DE GROOT,53,RABOBANK,94H 38' 12'',+ 03H 37' 46'',3570
2007,135, ROBERT FÖRSTER,92,GEROLSTEINER,94H 40' 36'',+ 03H 40' 10'',3570
2007,136, ANTHONY CHARTEAU,104,CREDIT AGRICOLE,94H 41' 10'',+ 03H 40' 44'',3570
2007,137, SVEN KRAUSS,96,GEROLSTEINER,94H 41' 17'',+ 03H 40' 51'',3570
2007,138, GERT STEEGMANS,176,QUICK STEP - INNERGETIC,94H 42' 04'',+ 03H 41' 38'',3570
2007,139, THOR HUSHOVD,101,CREDIT AGRICOLE,94H 42' 23'',+ 03H 41' 57'',3570
2007,140, GERAINT THOMAS,215,BARLOWORLD,94H 47' 17'',+ 03H 46' 51'',3570
2007,141, WIM VANSEVENANT,49,PREDICTOR - LOTTO,94H 53' 20'',+ 03H 52' 54'',3570
2006,1, OSCAR PEREIRO SIO,97,CAISSE D'EPARGNE-ILLES BALEARS,89H 40' 27'',+ 89H 40' 27'',3657
2006,2, ANDREAS KLÖDEN,21,T-MOBILE TEAM,00H 00' 32'',+ 00H 00' 32'',3657
2006,3, CARLOS SASTRE,14,TEAM CSC,00H 02' 16'',+ 00H 02' 16'',3657
2006,4, CADEL EVANS,61,DAVITAMON - LOTTO,00H 04' 11'',+ 00H 04' 11'',3657
2006,5, DENIS MENCHOV,51,RABOBANK,00H 06' 09'',+ 00H 06' 09'',3657
2006,6, CYRIL DESSEL,35,AG2R PREVOYANCE,00H 07' 44'',+ 00H 07' 44'',3657
2006,7, CHRISTOPHE MOREAU,31,AG2R PREVOYANCE,00H 08' 40'',+ 00H 08' 40'',3657
2006,8, HAIMAR ZUBELDIA,129,EUSKALTEL - EUSKADI,00H 11' 08'',+ 00H 11' 08'',3657
2006,9, MICHAEL ROGERS,26,T-MOBILE TEAM,00H 14' 10'',+ 00H 14' 10'',3657
2006,10, FRANK SCHLECK,15,TEAM CSC,00H 16' 49'',+ 00H 16' 49'',3657
2006,11, DAMIANO CUNEGO,81,LAMPRE-FONDITAL,00H 18' 22'',+ 00H 18' 22'',3657
2006,13, MICHAEL BOOGERD,52,RABOBANK,00H 18' 49'',+ 00H 18' 49'',3657
2006,14, MARKUS FOTHEN,42,GEROLSTEINER,00H 19' 00'',+ 00H 19' 00'',3657
2006,15, PIETRO CAUCCHIOLI,111,CREDIT AGRICOLE,00H 20' 15'',+ 00H 20' 15'',3657
2006,16, TADEJ VALJAVEC,88,LAMPRE-FONDITAL,00H 25' 28'',+ 00H 25' 28'',3657
2006,17, MICHAEL RASMUSSEN,58,RABOBANK,00H 27' 36'',+ 00H 27' 36'',3657
2006,18, JOSÉ AZEVEDO,1,DISCOVERY CHANNEL TEAM,00H 37' 11'',+ 00H 37' 11'',3657
2006,19, MARZIO BRUSEGHIN,84,LAMPRE-FONDITAL,00H 42' 08'',+ 00H 42' 08'',3657
2006,20, DAVID ARROYO DURAN,92,CAISSE D'EPARGNE-ILLES BALEARS,00H 43' 03'',+ 00H 43' 03'',3657
2006,22, PATXI VILA ERRANDONEA,89,LAMPRE-FONDITAL,00H 43' 31'',+ 00H 43' 31'',3657
2006,23, PATRIK SINKEWITZ,27,T-MOBILE TEAM,00H 48' 04'',+ 00H 48' 04'',3657
2006,24, CHRISTIAN VANDE VELDE,16,TEAM CSC,00H 49' 22'',+ 00H 49' 22'',3657
2006,25, YAROSLAV POPOVYCH,7,DISCOVERY CHANNEL TEAM,00H 51' 05'',+ 00H 51' 05'',3657
2006,26, GIUSEPPE GUERINI,22,T-MOBILE TEAM,00H 57' 02'',+ 00H 57' 02'',3657
2006,27, EDDY MAZZOLENI,25,T-MOBILE TEAM,01H 01' 43'',+ 01H 01' 43'',3657
2006,28, JOSÉ LUIS ARRIETA,32,AG2R PREVOYANCE,01H 02' 03'',+ 01H 02' 03'',3657
2006,29, PIERRICK FEDRIGO,174,BOUYGUES TELECOM,01H 04' 30'',+ 01H 04' 30'',3657
2006,30, VLADIMIR KARPETS,96,CAISSE D'EPARGNE-ILLES BALEARS,01H 06' 21'',+ 01H 06' 21'',3657
2006,31, AXEL MERCKX,76,PHONAK HEARING SYSTEMS,01H 08' 31'',+ 01H 08' 31'',3657
2006,33, XABIER ZANDIO ECHAIDE,99,CAISSE D'EPARGNE-ILLES BALEARS,01H 15' 50'',+ 01H 15' 50'',3657
2006,34, SYLVAIN CALZATI,34,AG2R PREVOYANCE,01H 19' 29'',+ 01H 19' 29'',3657
2006,35, IKER CAMANO,122,EUSKALTEL - EUSKADI,01H 20' 37'',+ 01H 20' 37'',3657
2006,36, MIKEL ASTARLOZA,33,AG2R PREVOYANCE,01H 23' 29'',+ 01H 23' 29'',3657
2006,37, STEPHANE GOUBERT,38,AG2R PREVOYANCE,01H 27' 36'',+ 01H 27' 36'',3657
2006,38, LAURENT LEFEVRE,176,BOUYGUES TELECOM,01H 29' 27'',+ 01H 29' 27'',3657
2006,39, BENOIT SALMON,199,AGRITUBEL,01H 29' 58'',+ 01H 29' 58'',3657
2006,40, CHRISTOPHE BRANDT,63,DAVITAMON - LOTTO,01H 33' 27'',+ 01H 33' 27'',3657
2006,41, CHRISTOPHE RINERO,148,SAUNIER DUVAL - PRODIR,01H 34' 02'',+ 01H 34' 02'',3657
2006,42, EGOI MARTINEZ,4,DISCOVERY CHANNEL TEAM,01H 34' 15'',+ 01H 34' 15'',3657
2006,43, IVAN RAMIRO PARRA,137,COFIDIS CREDIT PAR TELEPHONE,01H 36' 12'',+ 01H 36' 12'',3657
2006,44, CRISTIAN MORENI,136,COFIDIS CREDIT PAR TELEPHONE,01H 37' 10'',+ 01H 37' 10'',3657
2006,45, SYLVAIN CHAVANEL,134,COFIDIS CREDIT PAR TELEPHONE,01H 39' 08'',+ 01H 39' 08'',3657
2006,46, RUBEN LOBATO ELVIRA,145,SAUNIER DUVAL - PRODIR,01H 39' 55'',+ 01H 39' 55'',3657
2006,47, GEORG TOTSCHNIG,46,GEROLSTEINER,01H 41' 58'',+ 01H 41' 58'',3657
2006,48, PATRICE HALGAND,116,CREDIT AGRICOLE,01H 42' 06'',+ 01H 42' 06'',3657
2006,49, ALEXANDRE BOTCHAROV,112,CREDIT AGRICOLE,01H 43' 49'',+ 01H 43' 49'',3657
2006,50, INIGO LANDALUZE,126,EUSKALTEL - EUSKADI,01H 47' 25'',+ 01H 47' 25'',3657
2006,51, MATTHIEU SPRICK,179,BOUYGUES TELECOM,01H 47' 34'',+ 01H 47' 34'',3657
2006,52, SERHIY HONCHAR,23,T-MOBILE TEAM,01H 48' 25'',+ 01H 48' 25'',3657
2006,53, JENS VOIGT,17,TEAM CSC,01H 49' 44'',+ 01H 49' 44'',3657
2006,54, MATTHIAS KESSLER,24,T-MOBILE TEAM,01H 51' 06'',+ 01H 51' 06'',3657
2006,55, STEFANO GARZELLI,166,LIQUIGAS,01H 52' 58'',+ 01H 52' 58'',3657
2006,56, DAVID DE LA FUENTE,143,SAUNIER DUVAL - PRODIR,01H 54' 22'',+ 01H 54' 22'',3657
2006,57, SALVATORE COMMESSO,85,LAMPRE-FONDITAL,01H 55' 58'',+ 01H 55' 58'',3657
2006,58, DAVID MONCOUTIE,131,COFIDIS CREDIT PAR TELEPHONE,02H 02' 13'',+ 02H 02' 13'',3657
2006,59, DAVID MILLAR,146,SAUNIER DUVAL - PRODIR,02H 03' 13'',+ 02H 03' 13'',3657
2006,60, GILBERTO SIMONI,141,SAUNIER DUVAL - PRODIR,02H 06' 21'',+ 02H 06' 21'',3657
2006,61, MOISES DUENAS NEVADA,194,AGRITUBEL,02H 07' 02'',+ 02H 07' 02'',3657
2006,62, KOOS MOERENHOUT,77,PHONAK HEARING SYSTEMS,02H 08' 06'',+ 02H 08' 06'',3657
2006,63, THOMAS LÖVKVIST,157,FRANCAISE DES JEUX,02H 11' 16'',+ 02H 11' 16'',3657
2006,64, CHRISTOPHER HORNER,64,DAVITAMON - LOTTO,02H 11' 28'',+ 02H 11' 28'',3657
2006,65, PAVEL PADRNOS,6,DISCOVERY CHANNEL TEAM,02H 15' 48'',+ 02H 15' 48'',3657
2006,66, SEBASTIAN LANG,44,GEROLSTEINER,02H 24' 18'',+ 02H 24' 18'',3657
2006,67, ALESSANDRO BALLAN,82,LAMPRE-FONDITAL,02H 25' 37'',+ 02H 25' 37'',3657
2006,68, FABIAN WEGMANN,47,GEROLSTEINER,02H 26' 20'',+ 02H 26' 20'',3657
2006,69, SANDY CASAR,151,FRANCAISE DES JEUX,02H 27' 37'',+ 02H 27' 37'',3657
2006,70, PAOLO TIRALONGO,87,LAMPRE-FONDITAL,02H 31' 11'',+ 02H 31' 11'',3657
2006,71, INAKI ISASI,125,EUSKALTEL - EUSKADI,02H 31' 39'',+ 02H 31' 39'',3657
2006,72, JUAN MANUEL GARATE,104,QUICK STEP - INNERGETIC,02H 31' 50'',+ 02H 31' 50'',3657
2006,73, DIDIER ROUS,178,BOUYGUES TELECOM,02H 31' 57'',+ 02H 31' 57'',3657
2006,75, GORKA VERDUGO,128,EUSKALTEL - EUSKADI,02H 32' 55'',+ 02H 32' 55'',3657
2006,76, CHRISTOPHE LE MEVEL,119,CREDIT AGRICOLE,02H 33' 27'',+ 02H 33' 27'',3657
2006,77, CARLOS DA CRUZ,152,FRANCAISE DES JEUX,02H 39' 04'',+ 02H 39' 04'',3657
2006,78, FRANCISCO VENTOSO,149,SAUNIER DUVAL - PRODIR,02H 40' 25'',+ 02H 40' 25'',3657
2006,79, SIMON GERRANS,37,AG2R PREVOYANCE,02H 45' 36'',+ 02H 45' 36'',3657
2006,80, MANUEL QUINZIATO,169,LIQUIGAS,02H 46' 36'',+ 02H 46' 36'',3657
2006,81, BJÖRN SCHRÖDER,188,TEAM MILRAM,02H 46' 51'',+ 02H 46' 51'',3657
2006,82, JUAN ANTONIO FLECHA GIANNONI,55,RABOBANK,02H 48' 56'',+ 02H 48' 56'',3657
2006,83, JÉRÔME PINEAU,177,BOUYGUES TELECOM,02H 50' 25'',+ 02H 50' 25'',3657
2006,84, VJATCESLAV EKIMOV,2,DISCOVERY CHANNEL TEAM,02H 50' 36'',+ 02H 50' 36'',3657
2006,85, JOOST POSTHUMA,57,RABOBANK,02H 51' 03'',+ 02H 51' 03'',3657
2006,86, ERIK ZABEL,181,TEAM MILRAM,02H 51' 16'',+ 02H 51' 16'',3657
2006,87, BENOÎT VAUGRENARD,159,FRANCAISE DES JEUX,02H 51' 34'',+ 02H 51' 34'',3657
2006,88, ANTHONY GESLIN,175,BOUYGUES TELECOM,02H 51' 34'',+ 02H 51' 34'',3657
2006,89, THOMAS VOECKLER,171,BOUYGUES TELECOM,02H 52' 00'',+ 02H 52' 00'',3657
2006,90, MANUEL CALVENTE,192,AGRITUBEL,02H 52' 30'',+ 02H 52' 30'',3657
2006,91, STUART O'GRADY,13,TEAM CSC,02H 54' 28'',+ 02H 54' 28'',3657
2006,92, JOSÉ LUIS RUBIERA,8,DISCOVERY CHANNEL TEAM,02H 54' 47'',+ 02H 54' 47'',3657
2006,93, PIETER WEENING,59,RABOBANK,02H 55' 06'',+ 02H 55' 06'',3657
2006,94, BRAM TANKINK,107,QUICK STEP - INNERGETIC,02H 56' 05'',+ 02H 56' 05'',3657
2006,95, CÉDRIC VASSEUR,109,QUICK STEP - INNERGETIC,02H 57' 58'',+ 02H 57' 58'',3657
2006,96, RONNY SCHOLZ,45,GEROLSTEINER,02H 59' 51'',+ 02H 59' 51'',3657
2006,97, ALEXANDRE MOOS,78,PHONAK HEARING SYSTEMS,03H 00' 37'',+ 03H 00' 37'',3657
2006,98, RICCARDO RICCO,147,SAUNIER DUVAL - PRODIR,03H 00' 40'',+ 03H 00' 40'',3657
2006,99, MARCO VELO,189,TEAM MILRAM,03H 01' 12'',+ 03H 01' 12'',3657
2006,100, NICOLAS PORTAL,98,CAISSE D'EPARGNE-ILLES BALEARS,03H 01' 23'',+ 03H 01' 23'',3657
2006,101, LUCA PAOLINI,168,LIQUIGAS,03H 03' 21'',+ 03H 03' 21'',3657
2006,102, RALF GRABSCH,183,TEAM MILRAM,03H 03' 24'',+ 03H 03' 24'',3657
2006,103, NICOLAS JALABERT,74,PHONAK HEARING SYSTEMS,03H 04' 08'',+ 03H 04' 08'',3657
2006,104, CHRISTIAN KNEES,186,TEAM MILRAM,03H 05' 01'',+ 03H 05' 01'',3657
2006,105, GUSTAV LARSSON,156,FRANCAISE DES JEUX,03H 05' 17'',+ 03H 05' 17'',3657
2006,106, MARIO AERTS,62,DAVITAMON - LOTTO,03H 05' 29'',+ 03H 05' 29'',3657
2006,107, BERT GRABSCH,72,PHONAK HEARING SYSTEMS,03H 07' 26'',+ 03H 07' 26'',3657
2006,108, BERNHARD EISEL,153,FRANCAISE DES JEUX,03H 08' 02'',+ 03H 08' 02'',3657
2006,109, DANIELE RIGHI,86,LAMPRE-FONDITAL,03H 11' 54'',+ 03H 11' 54'',3657
2006,110, PHILIPPE GILBERT,154,FRANCAISE DES JEUX,03H 12' 06'',+ 03H 12' 06'',3657
2006,111, WALTER BENETEAU,172,BOUYGUES TELECOM,03H 14' 44'',+ 03H 14' 44'',3657
2006,112, JOHAN VAN SUMMEREN,69,DAVITAMON - LOTTO,03H 17' 47'',+ 03H 17' 47'',3657
2006,113, SÉBASTIEN HINAULT,117,CREDIT AGRICOLE,03H 18' 18'',+ 03H 18' 18'',3657
2006,114, ANTHONY CHARTEAU,113,CREDIT AGRICOLE,03H 19' 32'',+ 03H 19' 32'',3657
2006,115, VICENTE GARCIA ACOSTA,95,CAISSE D'EPARGNE-ILLES BALEARS,03H 19' 35'',+ 03H 19' 35'',3657
2006,116, ROBBIE MC EWEN,65,DAVITAMON - LOTTO,03H 20' 04'',+ 03H 20' 04'',3657
2006,117, EDUARDO GONZALO RAMIREZ,195,AGRITUBEL,03H 20' 30'',+ 03H 20' 30'',3657
2006,118, MICHAEL ALBASINI,162,LIQUIGAS,03H 20' 37'',+ 03H 20' 37'',3657
2006,119, MATEJ MUGERLI,167,LIQUIGAS,03H 20' 51'',+ 03H 20' 51'',3657
2006,120, SAMUEL DUMOULIN,36,AG2R PREVOYANCE,03H 21' 18'',+ 03H 21' 18'',3657
2006,121, THOR HUSHOVD,118,CREDIT AGRICOLE,03H 22' 55'',+ 03H 22' 55'',3657
2006,122, VICTOR HUGO PENA,79,PHONAK HEARING SYSTEMS,03H 23' 39'',+ 03H 23' 39'',3657
2006,123, STÉPHANE AUGE,132,COFIDIS CREDIT PAR TELEPHONE,03H 24' 22'',+ 03H 24' 22'',3657
2006,124, BRADLEY WIGGINS,139,COFIDIS CREDIT PAR TELEPHONE,03H 24' 35'',+ 03H 24' 35'',3657
2006,125, MATTEO TOSATTO,108,QUICK STEP - INNERGETIC,03H 24' 57'',+ 03H 24' 57'',3657
2006,126, CHRISTOPHE LAURENT,196,AGRITUBEL,03H 25' 26'',+ 03H 25' 26'',3657
2006,127, UNAI ETXEBARRIA,123,EUSKALTEL - EUSKADI,03H 29' 15'',+ 03H 29' 15'',3657
2006,128, JULIAN DEAN,114,CREDIT AGRICOLE,03H 29' 36'',+ 03H 29' 36'',3657
2006,129, PATRICK CALCAGNI,164,LIQUIGAS,03H 32' 31'',+ 03H 32' 31'',3657
2006,130, ARNAUD COYOT,135,COFIDIS CREDIT PAR TELEPHONE,03H 34' 37'',+ 03H 34' 37'',3657
2006,131, CHRISTOPHE MENGIN,158,FRANCAISE DES JEUX,03H 34' 55'',+ 03H 34' 55'',3657
2006,132, KJELL CARLSTRÖM,165,LIQUIGAS,03H 34' 56'',+ 03H 34' 56'',3657
2006,133, FILIPPO POZZATO,105,QUICK STEP - INNERGETIC,03H 36' 09'',+ 03H 36' 09'',3657
2006,134, CÉDRIC COUTOULY,193,AGRITUBEL,03H 38' 03'',+ 03H 38' 03'',3657
2006,135, PETER WROLICH,48,GEROLSTEINER,03H 38' 23'',+ 03H 38' 23'',3657
2006,136, AITOR HERNANDEZ,124,EUSKALTEL - EUSKADI,03H 49' 19'',+ 03H 49' 19'',3657
2006,137, GERT STEEGMANS,67,DAVITAMON - LOTTO,03H 58' 19'',+ 03H 58' 19'',3657
2006,138, JIMMY CASPER,133,COFIDIS CREDIT PAR TELEPHONE,03H 59' 08'',+ 03H 59' 08'',3657
2006,139, WIM VANSEVENANT,68,DAVITAMON - LOTTO,04H 01' 04'',+ 04H 01' 04'',3657
2005,1,LANCE ARMSTRONG,,DISCOVERY CHANNEL TEAM,86H 15' 02'',-,3593
2005,2, IVAN BASSO,21,TEAM CSC,86H 19' 42'',+ 00H 04' 40'',3593
2005,3, JAN ULLRICH,11,T-MOBILE TEAM,86H 21' 23'',+ 00H 06' 21'',3593
2005,4, FRANCISCO MANCEBO,31,ILLES BALEARS-CAISSE D EPARGNE,86H 25' 01'',+ 00H 09' 59'',3593
2005,5, ALEXANDRE VINOKOUROV,19,T-MOBILE TEAM,86H 26' 03'',+ 00H 11' 01'',3593
2005,7, MICHAEL RASMUSSEN,57,RABOBANK,86H 26' 35'',+ 00H 11' 33'',3593
2005,8, CADEL EVANS,44,DAVITAMON - LOTTO,86H 26' 57'',+ 00H 11' 55'',3593
2005,9, FLOYD LANDIS,66,PHONAK HEARING SYSTEMS,86H 27' 46'',+ 00H 12' 44'',3593
2005,10, OSCAR PEREIRO SIO,68,PHONAK HEARING SYSTEMS,86H 31' 06'',+ 00H 16' 04'',3593
2005,11, CHRISTOPHE MOREAU,101,CREDIT AGRICOLE,86H 31' 28'',+ 00H 16' 26'',3593
2005,12, YAROSLAV POPOVYCH,7,DISCOVERY CHANNEL TEAM,86H 34' 04'',+ 00H 19' 02'',3593
2005,13, EDDY MAZZOLENI,151,LAMPRE - CAFFITA,86H 36' 08'',+ 00H 21' 06'',3593
2005,15, HAIMAR ZUBELDIA,199,EUSKALTEL - EUSKADI,86H 38' 45'',+ 00H 23' 43'',3593
2005,16, JÖRG JAKSCHE,96,LIBERTY SEGUROS - WÜRTH TEAM,86H 39' 09'',+ 00H 24' 07'',3593
2005,17, BOBBY JULICH,23,TEAM CSC,86H 39' 10'',+ 00H 24' 08'',3593
2005,18, OSCAR SEVILLA,17,T-MOBILE TEAM,86H 42' 47'',+ 00H 27' 45'',3593
2005,19, ANDREY KASHECHKIN,108,CREDIT AGRICOLE,86H 43' 06'',+ 00H 28' 04'',3593
2005,20, GIUSEPPE GUERINI,12,T-MOBILE TEAM,86H 48' 04'',+ 00H 33' 02'',3593
2005,21, CARLOS SASTRE,26,TEAM CSC,86H 49' 26'',+ 00H 34' 24'',3593
2005,22, XABIER ZANDIO ECHAIDE,39,ILLES BALEARS-CAISSE D EPARGNE,86H 51' 22'',+ 00H 36' 20'',3593
2005,23, LEONARDO PIEPOLI,87,SAUNIER DUVAL - PRODIR,86H 51' 22'',+ 00H 36' 20'',3593
2005,24, MICHAEL BOOGERD,52,RABOBANK,86H 53' 31'',+ 00H 38' 29'',3593
2005,25, PAOLO SAVOLDELLI,9,DISCOVERY CHANNEL TEAM,86H 59' 32'',+ 00H 44' 30'',3593
2005,26, GEORG TOTSCHNIG,161,GEROLSTEINER,87H 04' 16'',+ 00H 49' 14'',3593
2005,27, MIKEL ASTARLOZA,202,AG2R PREVOYANCE,87H 09' 05'',+ 00H 54' 03'',3593
2005,28, LAURENT BROCHARD,143,BOUYGUES TELECOM,87H 10' 31'',+ 00H 55' 29'',3593
2005,29, SANDY CASAR,172,FRANCAISE DES JEUX,87H 11' 49'',+ 00H 56' 47'',3593
2005,30, JOSÉ AZEVEDO,2,DISCOVERY CHANNEL TEAM,87H 14' 50'',+ 00H 59' 48'',3593
2005,31, ALBERTO CONTADOR,93,LIBERTY SEGUROS - WÜRTH TEAM,87H 18' 27'',+ 01H 03' 25'',3593
2005,32, STEFANO GARZELLI,111,LIQUIGAS - BIANCHI,87H 19' 51'',+ 01H 04' 49'',3593
2005,33, CHRISTOPHER HORNER,86,SAUNIER DUVAL - PRODIR,87H 22' 59'',+ 01H 07' 57'',3593
2005,34, STEPHANE GOUBERT,206,AG2R PREVOYANCE,87H 25' 55'',+ 01H 10' 53'',3593
2005,35, JOSÉ LUIS RUBIERA,8,DISCOVERY CHANNEL TEAM,87H 26' 50'',+ 01H 11' 48'',3593
2005,36, PIETRO CAUCCHIOLI,103,CREDIT AGRICOLE,87H 31' 23'',+ 01H 16' 21'',3593
2005,37, MAXIM IGLINSKIY,186,DOMINA VACANZE,87H 33' 46'',+ 01H 18' 44'',3593
2005,38, JORG LUDEWIG,187,DOMINA VACANZE,87H 34' 07'',+ 01H 19' 05'',3593
2005,39, AXEL MERCKX,45,DAVITAMON - LOTTO,87H 35' 17'',+ 01H 20' 15'',3593
2005,40, MARCOS ANTONIO SERRANO RODRIGUEZ,98,LIBERTY SEGUROS - WÜRTH TEAM,87H 36' 33'',+ 01H 21' 31'',3593
2005,41, MICHAEL ROGERS,135,QUICK STEP - INNERGETIC,87H 39' 34'',+ 01H 24' 32'',3593
2005,42, ALEXANDRE MOOS,67,PHONAK HEARING SYSTEMS,87H 40' 37'',+ 01H 25' 35'',3593
2005,43, JÉRÔME PINEAU,147,BOUYGUES TELECOM,87H 46' 40'',+ 01H 31' 38'',3593
2005,44, CÉDRIC VASSEUR,128,COFIDIS CREDIT PAR TELEPHONE,87H 48' 19'',+ 01H 33' 17'',3593
2005,45, ROBERTO HERAS,91,LIBERTY SEGUROS - WÜRTH TEAM,87H 53' 35'',+ 01H 38' 33'',3593
2005,46, PIERRICK FEDRIGO,144,BOUYGUES TELECOM,87H 56' 16'',+ 01H 41' 14'',3593
2005,47, FRANCO PELLIZOTTI,119,LIQUIGAS - BIANCHI,87H 56' 40'',+ 01H 41' 38'',3593
2005,48, EGOI MARTINEZ,198,EUSKALTEL - EUSKADI,87H 57' 31'',+ 01H 42' 29'',3593
2005,49, JOSÉ ENRIQUE GUTIERREZ,63,PHONAK HEARING SYSTEMS,87H 57' 37'',+ 01H 42' 35'',3593
2005,50, VLADIMIR KARPETS,37,ILLES BALEARS-CAISSE D EPARGNE,87H 58' 47'',+ 01H 43' 45'',3593
2005,51, SANTIAGO BOTERO,61,PHONAK HEARING SYSTEMS,88H 04' 24'',+ 01H 49' 22'',3593
2005,52, PATRICE HALGAND,104,CREDIT AGRICOLE,88H 08' 28'',+ 01H 53' 26'',3593
2005,53, DAVID ARROYO DURAN,33,ILLES BALEARS-CAISSE D EPARGNE,88H 09' 14'',+ 01H 54' 12'',3593
2005,54, DARIO DAVID CIONI,115,LIQUIGAS - BIANCHI,88H 15' 41'',+ 02H 00' 39'',3593
2005,55, DANIELE NARDELLO,15,T-MOBILE TEAM,88H 17' 25'',+ 02H 02' 23'',3593
2005,56, CHRISTOPHE BRANDT,43,DAVITAMON - LOTTO,88H 18' 12'',+ 02H 03' 10'',3593
2005,57, MATTHIAS KESSLER,13,T-MOBILE TEAM,88H 18' 58'',+ 02H 03' 56'',3593
